,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00.1,01:00.1,02:00.1,03:00.1,04:00.1,05:00.1,06:00.1,07:00.1,08:00.1,09:00.1,10:00.1,11:00.1,12:00.1,13:00.1,14:00.1,15:00.1,16:00.1,17:00.1,18:00.1,19:00.1,20:00.1,21:00.1,22:00.1,23:00.1,00:00.2,01:00.2,02:00.2,03:00.2,04:00.2,05:00.2,06:00.2,07:00.2,08:00.2,09:00.2,10:00.2,11:00.2,12:00.2,13:00.2,14:00.2,15:00.2,16:00.2,17:00.2,18:00.2,19:00.2,20:00.2,21:00.2,22:00.2,23:00.2,00:00.3,01:00.3,02:00.3,03:00.3,04:00.3,05:00.3,06:00.3,07:00.3,08:00.3,09:00.3,10:00.3,11:00.3,12:00.3,13:00.3,14:00.3,15:00.3,16:00.3,17:00.3,18:00.3,19:00.3,20:00.3,21:00.3,22:00.3,23:00.3,00:00.4,01:00.4,02:00.4,03:00.4,04:00.4,05:00.4,06:00.4,07:00.4,08:00.4,09:00.4,10:00.4,11:00.4,12:00.4,13:00.4,14:00.4,15:00.4,16:00.4,17:00.4,18:00.4,19:00.4,20:00.4,21:00.4,22:00.4,23:00.4
14,476,1014,209,670,552,499,36197,33290,19119,21688,27924,24722,17332,37350,19215,47667,32689,6888,54006,20093,38300,16166,9807,14390,1227,330,1085,668,1300,618,25748,28775,28626,33235,19869,19909,35979,27498,21767,49346,37842,27977,28264,20220,20220,24511,18328,12263,367,761,757,487,2683,546,28314,27745,25916,30293,22830,26720,40298,24486,34706,32855,31191,12553,31316,47400,26692,20617,19656,16136,17443,676,2617,373,1043,672,1122,480,867,34971,33599,24534,12019,26651,36216,17552,13361,29425,30966,3062,3386,18368,5669,23307,12914,431,728,1957,585,585,1105,629,2314,36656,31543,42200,21611,37758,26970,35820,8777,37339,3881,42819,4401,7495,1972,19778
15,786,976,676,712,349,1131,23373,26079,13369,22669,11649,14858,17941,27170,28882,28894,28797,24227,23245,10740,8455,11158,20010,4236,1712,514,1339,577,1131,3418,22419,21212,14774,21583,21445,20493,17011,23303,28782,28265,28857,30332,21282,21987,16653,20538,19210,5374,698,953,857,792,949,4006,24325,29369,26629,16003,21129,32153,22504,24735,27395,24743,24679,30883,8937,14304,13341,28132,9207,10456,12843,1335,579,952,750,657,488,846,7900,7923,35518,52127,56596,75061,43862,42758,14743,19260,40340,17252,11812,13150,8790,12082,11985,654,1155,325,1785,538,353,1062,1433,6201,28986,18967,31924,25173,34761,53318,32636,16233,15008,7919,15752,26928,5412,18023
16,3599,559,258,593,389,14113,30561,22233,16731,6454,6390,8716,14159,10955,22539,25608,31371,13009,22659,18306,7500,11315,12620,298,276,259,952,1984,5118,1300,8319,29377,21971,10061,22176,19150,16250,13664,17417,39529,26335,21535,14767,9812,11380,10178,20350,880,663,525,976,539,1266,2431,16520,16458,18917,21708,10737,22652,21972,16776,18134,42229,25733,35517,29189,23741,25784,4716,2639,23045,545,493,424,1153,925,1585,5350,827,31616,51075,32870,43202,38737,11459,15246,15047,45051,41393,18720,18720,18720,18720,18720,18408,13860,13860,8330,3776,879,1295,784,4566,991,8395,5495,13773,29916,21942,35784,38146,23474,9417,9079,20464,23684,23075,16323,13801
17,17634,14291,11727,3048,327,359,697,128,1148,1536,16719,22591,28104,64461,32312,16873,24107,13015,15090,19600,15257,17305,12850,4940,13082,22608,12822,488,119,142,978,567,555,1448,24109,16322,22765,57663,30147,33029,20289,50099,31907,16532,15912,19276,12385,8148,14712,401,1442,184,476,846,744,879,1315,16519,16068,36397,21354,19887,20074,21438,32854,13466,21565,21319,33551,6824,5158,14892,28445,8300,423,134,215,634,1115,21783,31522,44410,42371,35984,24619,39168,28851,35731,27895,27623,22586,12887,30135,13829,5897,34928,16214,252,139,1385,1110,335,428,1350,1430,747,20653,14592,29149,12104,46912,16143,38728,33342,13274,16084,6868,12688,12013,10237
18,9970,21482,845,1673,1566,640,6894,2056,621,4133,19264,35834,15602,19947,31139,13853,20029,17638,15786,6472,8484,24958,4696,29863,61059,36706,17050,16956,8882,434,447,347,8913,415,1189,579,16459,18630,41829,28394,9580,5422,8129,7056,21796,8968,1484,5164,62,72,175,114,264,13312,29847,19692,19563,18552,18952,18299,14300,17181,14508,42606,7792,6356,9045,16950,18334,6256,11801,25,170,81,549,0,709,3465,34975,19548,25353,28072,26143,22148,14656,17042,15551,27225,14485,19395,30688,21652,15503,1019,7165,3,211,109,177,209,252,224,27866,21872,10142,2968,18292,14138,26519,6868,19613,20651,22258,18052,10820,23564,10863,16482,972,113
19,802,688,431,971,286,479,18600,57786,29562,25868,13670,14694,19760,29234,39123,66901,36986,37305,30655,36535,35665,12200,175,64,599,527,345,278,444,2393,23187,60224,21459,40769,39159,21428,23742,27425,36973,70438,28915,28474,28016,23379,11569,11056,14444,15946,1155,191,332,486,412,1927,16323,34149,23268,22174,29936,73420,54177,50326,32333,54097,16387,15071,25879,35655,20515,2052,7762,1130,5984,336,126,1023,1459,399,14544,20464,31741,39315,43428,39177,37502,52125,39402,52694,37508,28552,46348,22768,32150,7738,468,245,1383,1308,1582,1258,333,858,1131,18879,31937,36480,39689,48928,43724,48884,60657,38613,34297,32053,51079,45606,36722,15180,10245,1053
20,8689,11925,23,148,679,1532,90,2582,663,930,305,11844,37750,41266,25875,28981,22817,55350,24283,10039,34380,38541,13536,28758,26664,15918,34288,32570,16224,27687,42304,39188,17908,6510,41,1770,502,8521,12121,22024,28148,25295,27871,12331,20925,15900,28129,15409,14459,18170,13071,18644,32152,43332,37314,32393,11702,18660,18660,18660,18660,4016,9542,4997,18473,24123,17285,22020,10022,24145,6184,10970,20075,8062,11438,6002,103,239,735,291,519,420,131,23185,38587,41256,20846,43079,28696,32710,19333,15669,12863,8528,6834,29059,20919,16634,1771,6,272,47,881,672,618,4792,6197,26000,41427,9281,10560,10342,18292,21482,10625,7780,12587,11510,15348,5150
21,3865,1308,926,1128,1242,642,1084,8661,35391,31015,38099,35647,14281,18773,14041,15840,15023,16632,31395,29020,6313,14285,19247,6489,3639,1769,882,1151,771,802,743,21625,23479,28755,17669,10576,22043,15694,18720,15592,10271,9101,26605,24780,23613,642,22675,24480,12388,1306,670,947,983,623,510,22393,24803,25780,26792,20819,26606,26066,25361,34408,42053,26476,36315,3454,9414,12990,5292,22121,1113,1304,2381,436,1222,639,1306,2362,666,665,15741,24763,30134,25036,15388,18706,46836,32539,33783,17063,13800,13800,13800,17318,15952,2816,5330,1513,1683,639,1423,793,544,1054,5258,49225,33438,41804,32056,18621,28047,23253,34205,53599,26389,11897,16047,7620
22,338,405,2680,589,849,816,19223,13119,10567,13089,8861,16753,16107,12552,12892,14407,22213,14714,33949,8446,9054,6417,15404,276,268,636,451,422,535,253,16056,14277,12164,23465,18323,7497,13913,19227,21548,22555,15938,11423,9423,11220,18947,5927,11423,12754,311,375,395,892,308,544,913,5528,2,591,17736,24181,15804,12735,10122,29156,14164,53065,36139,16157,23273,15741,13538,16237,15609,19798,302,398,745,813,771,542,3240,25880,20394,41228,19177,15351,33707,17241,14402,23257,15053,15184,24143,19542,11099,14482,12107,16143,918,337,788,1041,956,880,520,709,231,29406,20244,48052,31262,13004,4909,6744,25780,15347,11417,10716,9278,20322
23,25370,978,647,307,334,317,621,208,1822,25465,48486,23646,49192,19913,43388,47058,63666,49477,134139,42402,14464,67261,36359,2121,11484,18585,582,213,329,188,209,881,686,20935,43676,25225,34857,46557,27407,55059,40746,37342,25494,19761,47948,49488,13074,26706,152,2101,682,307,341,558,978,26694,44810,31826,25502,12405,83922,26624,98740,20040,82398,158689,84496,26410,34560,49196,12768,5232,5123,15396,644,581,441,454,549,443,559,1313,13426,20550,72366,65172,44792,53401,13426,11585,4232,48326,46937,46010,24342,26789,47108,33635,39530,1454,848,381,1045,755,638,1810,437,614,27420,27420,42044,71648,78457,39126,52635,10876,26008,66141,64180,23367
24,682,422,165,290,387,5918,54406,22398,34821,28460,29824,12531,19202,31689,39418,8061,51386,57589,32992,55451,27393,17941,21495,682,739,61,308,193,701,14931,45852,11446,42251,15518,11615,9950,19189,37405,36681,12410,32606,38691,19921,32959,33701,31683,13166,5352,174,1164,943,274,191,547,455,24853,31832,26929,36400,66173,49822,44453,34109,44136,29441,47502,31211,28351,18458,16192,26779,34,184,577,1034,552,1047,2534,22354,43128,46547,33135,42154,22773,47279,52235,52611,23394,28294,32878,27682,33915,17058,10795,18570,20943,1054,769,2430,535,432,9232,26439,11555,284,35811,17780,57429,41493,27496,46471,35111,20277,38561,39494,12372,32860,27949,332,552
25,659,498,1389,644,967,683,37286,33460,33571,27345,44815,34414,49044,40401,38106,32787,31285,45943,20690,16626,40523,27608,22919,35024,16698,16415,15652,13299,207,7400,30168,38639,4611,537,613,540,292,5270,29596,45543,43817,24478,39383,14585,32494,47119,43241,35417,14434,14936,35496,18291,14844,16249,30410,46318,328,685,620,3216,27581,34438,57631,46407,59223,32519,67551,52074,24801,20459,15614,41785,13029,324,279,421,10,580,797,10287,50291,40497,34728,31672,53607,25918,50624,18187,69504,16814,36508,27048,30644,30735,15472,928,505,168,557,679,555,576,737,500,30952,41102,30995,43082,56527,43759,16373,46381,39585,11023,11856,51842,33415,31082,20322,10141
26,5566,1044,76,396,1184,621,5976,33138,19621,17548,13880,19756,11327,11170,15888,28996,24525,27072,45821,46507,6912,5822,11916,40854,6921,466,655,636,327,352,6233,36748,21741,23070,20206,10387,20387,12714,21546,2992,21372,23036,51076,13124,17582,18171,11747,37326,12597,206,712,637,107,803,6283,31934,19852,14114,13651,17197,15760,30409,41184,17345,10837,26179,48355,27244,26961,11157,17190,34220,5147,189,267,1072,390,427,6041,38195,19081,5622,18528,16788,11663,34922,54585,16293,22692,30724,9326,20290,21152,10854,13137,37634,12362,708,335,155,4303,580,1386,542,5077,30948,30923,26164,43737,35605,71197,42018,10728,20020,8609,13860,35431,32010,13667,47485
27,15671,25457,146,214,1972,8277,6730,7284,57561,23664,16687,30867,15596,35854,34474,41175,9352,48959,29845,37521,23469,5462,15772,18344,12221,28902,11137,96,5010,1050,2144,1902,21886,36124,17275,32074,29694,22916,20868,32353,32562,31943,15626,20951,10372,17227,33034,12771,28024,6409,630,2993,1116,921,24857,52223,17368,17132,14991,16508,17018,20776,18698,51324,24343,23374,9496,8823,22451,33648,28589,8479,13500,1383,136,2220,430,5313,14483,35472,15961,9191,23622,41351,20911,29767,13788,24871,40630,32014,9772,32364,34774,12820,11826,10015,29416,15216,478,256,561,26652,15989,18878,8918,7008,23631,10058,18911,12280,7250,6895,36873,19524,19389,9836,18390,25336,13278,9364
28,15932,485,231,495,1201,1011,2297,607,756,16301,19286,51055,64562,46913,64800,44072,14732,28258,14315,18692,9700,16989,8419,10057,9091,7003,7412,20133,1030,259,1152,762,910,650,15605,11629,10875,29770,30822,24718,6395,29663,35518,15086,38637,9412,8516,21731,13084,229,1372,684,828,328,17380,23634,43299,19896,21662,18617,20130,24353,33741,25301,52418,24260,24628,5776,12283,8933,21609,17844,235,2297,277,197,296,10260,14141,28341,38237,15365,21128,18232,13483,18088,38905,41410,9307,12308,17938,11028,10997,15346,25201,10187,2380,0,384,461,154,397,14347,25672,38548,21379,20395,13609,19680,14529,32016,23004,2601,34331,28889,4359,7445,7449,20280,13930
29,842,979,924,1949,1648,1180,703,2177,18656,25444,19036,5026,9511,9600,5652,11722,5136,25374,8642,18550,19363,7876,14657,8514,16630,820,1550,1030,1455,3604,1054,22147,25668,17525,16287,18655,18905,32835,21107,14596,33458,30937,24896,24286,24546,36011,28361,7120,14253,526,643,1348,1089,1282,2785,23995,28277,15471,15331,12698,17544,18263,13209,26145,29762,33760,13957,25377,18516,4114,5560,25198,3056,934,915,1545,1187,2544,1591,14816,19124,17464,18843,11921,23159,18073,24009,20606,38637,45363,17639,20413,7861,6139,6144,14335,623,1154,1214,1566,1460,1168,1338,8700,5847,33479,33878,18290,11417,40118,6836,27735,4367,12367,10412,17879,37603,6342,9814,23620
30,1140,157,45,549,728,2031,610,1440,29570,46378,79377,20498,18186,20546,6177,37750,28836,25385,9703,21486,167029,21083,28214,13066,1745,862,547,567,223,905,12935,60199,9957,13364,22029,15245,47446,42633,9033,15042,18522,19976,15782,21327,8238,13200,10842,24087,93,81,247,910,1562,681,2128,782,7318,30572,9489,35506,15345,29830,13391,59080,30730,37392,32168,40156,40450,11757,5321,25991,24570,24920,9399,111,625,1260,976,1153,1297,790,1569,28903,5642,22762,26082,49264,43803,50908,79148,44381,33646,21181,16278,10542,35801,20718,11753,596,413,97,298,1287,877,1616,1896,31607,33831,21630,14601,9451,28823,12298,17776,13588,76570,18505,11078,5686
31,2844,228,291,545,415,982,337,656,58,767,1073,3396,28156,11484,9238,25383,6779,31301,21562,5359,4106,5526,1117,2727,14948,1287,569,428,528,1041,215,403,440,737,24841,8526,20113,10764,10525,9287,14668,28402,17269,11059,5356,11982,14160,2943,12162,2017,2380,437,1055,117,508,559,1145,510,975,4097,23900,25673,14878,11598,12488,31287,10187,13895,4186,4795,2850,4041,2948,12014,13474,1157,1125,699,298,253,1201,347,434,379,4508,3046,6009,24065,26730,9950,24179,3307,12316,17763,26458,35262,13587,9377,7884,24463,35700,6503,400,138,183,536,206,1649,10910,3600,2822,19555,10487,10056,1293,837,17237,10372,3454,19699
